#F EADL97_MShellConstants.dat
#U00 This file is a conversion to specfile format of 
#U01 directly extracted EADL97 Shell constants.
#U02 to simplify its use with the fisx and PyMca software packages.
#U03
#U04 Neither those packages or their author(s) claim any ownership of
#U05 the data and they do not warrant the integrity of the data following 
#U07 the conversion process.
#U06
#U07 EADL itself can be found at:
#U08           http://www-nds.iaea.org/epdl97/libsall.htm
#U09 The code used to generate this file has been:
#U10 GenerateEADLShellConstants.py
#U11
#U12 The proper way to quote these data is:
#U13 D.E. Cullen, et al., "Tables and Graphs of Atomic Subshell and 
#U14 Relaxation Data Derived from the LLNL Evaluated Atomic Data Library
#U15 (EADL), Z = 1 - 100," Lawrence Livermore National Laboratory, UCRL-50400,
#U16  Vol. 30, October 1991
#U17 The author of these data, D.E. Cullen, has stated that redistribution of the
#U18 data is permitted provided the previous credits are maintained.
#U19 

#S 1 M1 x-ray data
#N 6
#L Z  f12  f13  f14  f15  omegaM1
39  2.4472E-01  7.0550E-01  1.1665E-04
40  2.3930E-01  6.9855E-01  1.2603E-04
41  2.3437E-01  6.9158E-01  1.4093E-04
42  2.2912E-01  6.8641E-01  1.5759E-04
43  2.2395E-01  6.8191E-01  1.7854E-04
44  2.1906E-01  6.7803E-01  2.0424E-04
45  2.1440E-01  6.7557E-01  2.3537E-04
46  2.0993E-01  6.7259E-01  2.7348E-04
47  2.0562E-01  6.7161E-01  3.1600E-04
48  2.0110E-01  6.7056E-01  3.6397E-04
49  1.9726E-01  6.6868E-01  4.1334E-04
50  1.9419E-01  6.6673E-01  4.6564E-04
51  1.9216E-01  6.6334E-01  5.2261E-04
52  1.9018E-01  6.5971E-01  5.8373E-04
53  1.8766E-01  6.5633E-01  6.4970E-04
54  1.8532E-01  6.5275E-01  7.2003E-04
55  1.8204E-01  6.5033E-01  7.9726E-04
56  1.7685E-01  6.4905E-01  8.8576E-04
57  1.5976E-01  6.5652E-01  1.0179E-03
58  1.5353E-01  6.5468E-01  1.0399E-03
59  1.4909E-01  6.5140E-01  1.0987E-03
60  1.4608E-01  6.4669E-01  1.1669E-03
61  1.5501E-01  6.3325E-01  1.3521E-03
62  1.5004E-01  6.3019E-01  1.4169E-03
63  1.4542E-01  6.2652E-01  1.4828E-03
64  1.4219E-01  6.2114E-01  1.5846E-03
65  1.3678E-01  6.1792E-01  1.6204E-03
66  1.3309E-01  6.1393E-01  1.6943E-03
67  1.2946E-01  6.0918E-01  1.7677E-03
68  1.1532E-01  6.1499E-01  1.8763E-03
69  1.1251E-01  6.1013E-01  1.9574E-03
70  1.0979E-01  6.0460E-01  2.0373E-03
71  1.0859E-01  5.9772E-01  2.1496E-03
72  1.0931E-01  5.9338E-01  2.2737E-03
73  9.3974E-02  6.0247E-01  2.7689E-03
